Timestamp_s,RED,IR
0.0057,58245,59071
0.0135,58284,59130
0.0338,58355,59208
0.0982,58366,59286
0.0982,58429,59355
0.0982,58477,59432
0.1238,58493,59473
0.1451,58483,59457
0.1671,58463,59416
0.1942,58424,59396
0.2165,58435,59367
0.2424,58496,59383
0.2557,58425,59389
0.2785,58469,59430
0.2986,58511,59448
0.331,58531,59541
0.3393,58541,59602
0.3659,58611,59589
0.3885,58594,59655
0.4106,58627,59677
0.4329,58645,59744
0.4445,58628,59755
0.4759,58700,59824
0.5036,58689,59839
0.5249,58739,59845
0.5409,58600,59737
0.5682,58467,59460
0.5851,58317,59194
0.6135,58083,58769
0.6318,58076,58730
0.6594,58064,58740
0.6737,58097,58772
0.6942,58124,58833
0.7203,58174,58901
0.7418,58209,58990
0.7626,58265,59068
0.7844,58294,59118
0.8062,58319,59155
0.8323,58318,59144
0.8529,58274,59118
0.8747,58290,59073
0.896,58250,59064
0.9154,58235,59083
0.9393,58275,59111
0.964,58278,59148
0.9798,58338,59182
1.0003,58370,59239
1.0254,58388,59277
1.0483,58431,59317
1.0694,58458,59412
1.09,58504,59459
1.1112,58525,59498
1.132,58518,59514
1.1597,58538,59562
1.1809,58562,59575
1.2011,58572,59604
1.2282,58488,59514
1.2432,58354,59268
1.2706,58193,59020
1.2914,58000,58607
1.3223,58005,58638
1.3344,58005,58605
1.3552,58010,58663
1.3806,58084,58713
1.4024,58106,58782
1.4232,58137,58825
1.444,58197,58899
1.4644,58236,58976
1.4858,58255,59007
1.5135,58246,58972
1.534,58225,58960
1.5542,58182,58940
1.582,58182,58942
1.5991,58221,58945
1.6177,58217,59003
1.6427,58280,59048
1.6595,58290,59077
1.6865,58300,59133
1.7079,58355,59179
1.7357,58368,59229
1.7519,58365,59363
1.7854,58471,59381
1.7976,58484,59390
1.8239,58447,59491
1.8404,58503,59496
1.8609,58495,59517
1.8866,58547,59458
1.9122,58420,59331
1.9302,58270,59092
1.9439,58127,58883
